generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid
0.643242,2886.199430,0.231872,14.749176,72.034139,44.328051,7.427186,0.824046,85.529590,1.536629,1.980350,33.129251,0.020510,0.026433,0.063410,12.216,0.066521,336.21,20.04,103.2,0.014589,0.985411,0,1
0.406524,7328.585443,0.133580,16.609388,67.383226,41.620624,8.224848,0.642725,46.918459,1.502499,1.415800,37.895354,0.047683,0.093770,0.174245,9.978,0.214285,338.52,55.45,80.8,0.011536,0.988464,0,1
0.594497,2640.637055,0.224743,17.466336,51.093870,30.886984,7.921859,0.782168,87.283999,1.285931,1.366524,18.501763,0.017644,0.025736,0.079360,7.480,0.084173,248.26,18.52,103.4,0.014244,0.985756,0,1
0.391315,3017.371523,0.156933,14.883382,57.229164,37.943105,7.378425,0.842080,45.665179,1.340141,2.195617,27.341758,0.014719,0.017431,0.053443,9.028,0.057309,268.81,13.50,105.5,0.009211,0.990789,0,1
0.284927,3116.947768,0.212366,18.554786,71.461717,24.720692,8.258856,0.895753,100.129373,1.288345,2.289596,19.255352,0.015992,0.017928,0.035602,11.743,0.035729,441.47,14.77,112.9,0.014644,0.985356,0,1
0.423296,7266.984573,0.396435,20.488242,73.246458,19.030923,7.397962,0.698491,96.534502,1.552025,2.315037,23.741015,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,89.1,0.014250,0.985750,0,1
0.367023,3167.934947,0.322018,10.903679,54.857135,42.413211,7.574434,0.899430,49.180771,1.482129,1.436669,21.427866,0.056561,0.096542,0.103018,25.000,0.170441,824.96,79.89,109.8,0.009276,0.990724,0,1
0.466501,3825.293984,0.439717,23.848219,59.285859,36.463011,7.667096,0.739843,95.847021,1.610734,1.758661,21.989541,-0.050000,0.000150,0.022238,0.124,0.030798,4.87,0.10,99.2,0.014246,0.985754,0,1
0.331662,4716.976568,0.338123,21.747326,60.283715,26.239954,8.380103,0.922951,43.292278,1.283171,2.144375,19.071884,0.016729,0.023639,0.056293,8.612,0.060777,379.32,20.07,115.4,0.013745,0.986255,0,1
0.578871,7194.329065,0.343458,12.596656,58.032255,30.926260,8.266438,0.941566,86.731626,1.608896,1.507907,32.577853,0.081452,0.161670,0.178478,24.026,0.217963,834.75,140.05,116.7,0.013136,0.986864,0,1
0.279439,3388.370008,0.105436,10.658113,79.785915,30.013419,8.137012,0.836307,90.014395,1.565739,1.330672,24.602236,0.027093,0.036575,0.057966,16.875,0.061177,516.47,28.14,104.7,0.012089,0.987911,0,1
