generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
0.583525,6971.456575,0.249407,10.209137,78.257170,38.821315,0.723650,1.190601,0.477462,8.023424,0.860955,73.571704,1.413875,1.964847,38.952782,0.097193,0.197374,0.243356,22.222,0.410157,683.42,156.34,107.5,0.011160,0.988840,0,1,0.000000,0.000000,0.000000
2.230314,6657.815111,0.132376,14.710884,59.573190,31.131240,0.705641,1.259558,0.334636,8.342672,0.876932,59.294293,1.417982,1.719463,39.450261,0.182846,0.427950,0.563671,14.687,1.202789,651.62,345.26,107.8,0.009380,0.990620,0,1,0.000000,0.000000,0.000000
1.190721,2702.170622,0.343846,16.105705,69.476855,45.667820,0.752556,1.445938,0.150834,8.780623,0.920087,85.448760,1.687172,1.604669,27.836818,0.061387,0.113581,0.159112,20.440,0.205028,642.82,96.14,115.1,0.015404,0.984596,0,1,0.000000,0.000000,0.000000
2.158645,2810.836952,0.137002,23.825122,75.742303,32.409630,0.805252,1.198546,0.694980,7.980445,0.718264,99.856703,1.470075,1.421428,27.387824,0.005961,0.006061,0.058545,2.251,0.044636,72.78,4.00,93.7,0.013340,0.986660,0,1,0.000000,0.000000,0.000000
0.221029,3374.000419,0.399579,20.626483,55.519379,32.785085,0.671106,1.115837,0.323124,8.311710,0.865074,94.282245,1.651902,1.764680,37.532106,0.028923,0.031405,0.038127,23.302,0.039437,697.39,24.99,112.8,0.013843,0.986157,0,1,0.000000,0.000000,0.000000
0.258136,3540.565793,0.252336,17.825682,65.145337,19.199638,0.560725,1.382492,0.566665,7.445118,0.737939,75.307835,1.636708,1.364815,39.213402,0.018332,0.012019,0.018702,19.167,0.013227,464.17,8.16,92.6,0.009510,0.990490,0,1,0.000000,0.000000,0.000000
0.725586,3631.678736,0.426406,14.863289,51.180504,40.973622,0.711065,1.272556,0.908018,7.540394,0.666298,78.197169,1.420433,1.539385,28.489045,0.029465,0.010682,0.071013,5.102,0.072442,98.09,6.55,83.7,0.013447,0.986553,1,1,0.000000,0.000000,0.000000
1.604895,7371.626881,0.449565,23.297000,74.252168,41.330636,0.664022,1.263391,0.274077,8.790759,0.663799,95.945752,1.336824,2.317794,41.308303,0.299799,0.235025,0.435793,8.543,0.320591,350.37,143.53,88.9,0.013504,0.986496,1,1,0.000000,0.000000,0.000000
2.480224,3254.861645,0.163940,22.740784,52.497929,22.327116,0.926579,1.081299,0.736109,7.588712,0.836088,90.123448,1.669043,2.028723,19.238367,0.013600,0.003415,0.025843,3.517,0.027056,108.15,2.63,105.9,0.013278,0.986722,1,1,0.000000,0.000000,0.000000
0.184108,7045.076502,0.394626,23.932689,56.556011,37.679677,0.909741,1.360653,0.549037,8.675639,0.907075,48.195521,1.361616,1.403388,30.423297,0.019072,0.022266,0.027567,14.432,0.028916,717.06,18.58,113.5,0.011091,0.988909,0,1,0.000000,0.000000,0.000000
